Epoch 20, Step 500, Loss: 0.111719835287, Error: 0.05, lr: 0.00112627029419
Epoch 21, Step 100, Loss: 0.0971466786605, Error: 0.02, lr: 0.00112627029419
Epoch 21, Step 200, Loss: 0.118958046418, Error: 0.06, lr: 0.00112627029419
Epoch 21, Step 300, Loss: 0.0921708644288, Error: 0.01, lr: 0.00112627029419
Epoch 21, Step 400, Loss: 0.0567731939934, Error: 0.02, lr: 0.00112627029419
Epoch 21, Step 500, Loss: 0.0871317808015, Error: 0.05, lr: 0.00112627029419
Epoch 22, Step 100, Loss: 0.189635087187, Error: 0.05, lr: 0.000844702720642
Epoch 22, Step 200, Loss: 0.0774557648597, Error: 0.02, lr: 0.000844702720642
Epoch 22, Step 300, Loss: 0.0720418625692, Error: 0.05, lr: 0.000844702720642
Epoch 22, Step 400, Loss: 0.113013181031, Error: 0.03, lr: 0.000844702720642
Epoch 22, Step 500, Loss: 0.126560294113, Error: 0.04, lr: 0.000844702720642
Epoch 23, Step 100, Loss: 0.247211693761, Error: 0.09, lr: 0.000844702720642
Epoch 23, Step 200, Loss: 0.0578572981457, Error: 0.02, lr: 0.000844702720642
Epoch 23, Step 300, Loss: 0.038981817634, Error: 0.0, lr: 0.000844702720642
Epoch 23, Step 400, Loss: 0.109359320897, Error: 0.05, lr: 0.000844702720642
Epoch 23, Step 500, Loss: 0.206894971383, Error: 0.08, lr: 0.000844702720642
Epoch 24, Step 100, Loss: 0.17919850557, Error: 0.06, lr: 0.000633527040482
Epoch 24, Step 200, Loss: 0.108929012881, Error: 0.03, lr: 0.000633527040482
Epoch 24, Step 300, Loss: 0.0707144616118, Error: 0.02, lr: 0.000633527040482
Epoch 24, Step 400, Loss: 0.130401456096, Error: 0.06, lr: 0.000633527040482
Epoch 24, Step 500, Loss: 0.0637582252246, Error: 0.02, lr: 0.000633527040482
Epoch 25, Step 100, Loss: 0.0638587094789, Error: 0.02, lr: 0.000633527040482
Epoch 25, Step 200, Loss: 0.0797807930346, Error: 0.01, lr: 0.000633527040482
Epoch 25, Step 300, Loss: 0.0618999148442, Error: 0.03, lr: 0.000633527040482
Epoch 25, Step 400, Loss: 0.0371600360091, Error: 0.01, lr: 0.000633527040482
Epoch 25, Step 500, Loss: 0.0629443807258, Error: 0.02, lr: 0.000633527040482
Epoch 26, Step 100, Loss: 0.0557240313502, Error: 0.01, lr: 0.000475145280361
Epoch 26, Step 200, Loss: 0.0428653968127, Error: 0.0, lr: 0.000475145280361
Epoch 26, Step 300, Loss: 0.0496487712888, Error: 0.02, lr: 0.000475145280361
Epoch 26, Step 400, Loss: 0.0499844066594, Error: 0.01, lr: 0.000475145280361
Epoch 26, Step 500, Loss: 0.0934444719122, Error: 0.05, lr: 0.000475145280361
Epoch 27, Step 100, Loss: 0.0347049010358, Error: 0.02, lr: 0.000475145280361
Epoch 27, Step 200, Loss: 0.117405975936, Error: 0.03, lr: 0.000475145280361
Epoch 27, Step 300, Loss: 0.0341546154151, Error: 0.01, lr: 0.000475145280361
Epoch 27, Step 400, Loss: 0.034733236724, Error: 0.01, lr: 0.000475145280361
Epoch 27, Step 500, Loss: 0.0277611069651, Error: 0.0, lr: 0.000475145280361
Epoch 28, Step 100, Loss: 0.0233938248743, Error: 0.01, lr: 0.000356358960271
Epoch 28, Step 200, Loss: 0.0364949447442, Error: 0.0, lr: 0.000356358960271
Epoch 28, Step 300, Loss: 0.173698354804, Error: 0.09, lr: 0.000356358960271
Epoch 28, Step 400, Loss: 0.086200732103, Error: 0.06, lr: 0.000356358960271
Epoch 28, Step 500, Loss: 0.0727425694404, Error: 0.04, lr: 0.000356358960271
Epoch 29, Step 100, Loss: 0.0572235612864, Error: 0.01, lr: 0.000356358960271
Epoch 29, Step 200, Loss: 0.0220674590437, Error: 0.0, lr: 0.000356358960271
Epoch 29, Step 300, Loss: 0.08918426471, Error: 0.02, lr: 0.000356358960271
Epoch 29, Step 400, Loss: 0.0301372984892, Error: 0.01, lr: 0.000356358960271
Epoch 29, Step 500, Loss: 0.106982661825, Error: 0.02, lr: 0.000356358960271
